message_id,text,cleaned_text,source,hateful_layer,implicit_layer,subtlety_layer,implicit_props_layer,target
1319,The Jews are planning a holocaust in our country in revenge.,the jews are planning a holocaust in our country in revenge .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Fallacy' 'Irony'],Religious Groups
287, we should make the chinese pay for extra security on every one of their festivals,we should make the chinese pay for extra security on every one of their festivals,toxigen,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Extralinguistic knowledge' 'Inference'],Nationalities/Regions
167,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be announced to the tax payers?","we have a lot of issues in the uk , and now we are also paying ngos to rescue migrants . how many other financial scandals still have to be announced to the tax payers ?",mconan,HS,Implicit HS,Non-Subtle,['Context' 'Sentiment' 'Visual signs'],Immigrants and Refugees
ENT1ST0013HS0099CN000608P1,Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.,statistics say that % of muslims in the uk are so lazy that they do not want to work .,conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Fallacy'],Religious Groups
259," it is equally prejudiced  albeit more empirically baseless  to assume that black people are harmless or  "" just like us "" "" """,it is equally prejudiced albeit more empirically baseless to assume that black people are harmless or   just like us,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Irony'],Ethnic/Racial Minorities
574,"In order to tackle this problem, world leaders--especially US leaders--must first wake-up from their slumber, come to realize the truth, and take the appropriate actions.","in order to tackle this problem , world leaders  especially us leaders  must first wake up from their slumber , come to realize the truth , and take the appropriate actions .",youtube,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference'],Non-Specified or General Targets
13061184_1,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .","i suppose the concept of a male cow and a female cow producing more cows , and the repeating process is too much for them to understand .",wsf,HS,Implicit HS,Subtle,['Irony' 'Metaphor' 'Visual signs'],Women
10, asians are geeks and are taking over all of the good jobs,asians are geeks and are taking over all of the good jobs,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
333,Immigrants are coming to the U.S. to have babies here.,immigrants are coming to the u . s . to have babies here .,mconan,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Immigrants and Refugees
1301,"Jews hide the truth to their children about the Holocaust, becuase they know it's a lie.","jews hide the truth to their children about the holocaust , becuase they know it is a lie .",mconan,HS,Implicit HS,Non-Subtle,['Fallacy' 'Sentiment'],Religious Groups
ENT1ST0015HS0114CN000913P1,"Christians have fought for lots of years against Muslims, we also stopped a genocide. We are enemies. But now it seems that our government forgot about this. This is a war! We must fight.","christians have fought for lots of years against muslims , we also stopped a genocide . we are enemies . but now it seems that our government forgot about this . this is a war ! we must fight .",conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Extralinguistic knowledge' 'Sentiment' 'Visual signs'],Religious Groups
260," it's a hollow simulacrum of  "" white advocacy "" "" if jews are accepted as white """,it is a hollow simulacrum of   white advocacy     if jews are accepted as white,ihc,HS,Implicit HS,Non-Subtle,['Circumlocution' 'Context' 'Extralinguistic knowledge' 'Inference'],Religious Groups
206, a lot of people moved into my neighborhood this year and they all look and act like they are from china,a lot of people moved into my neighborhood this year and they all look and act like they are from china,toxigen,HS,Implicit HS,Non-Subtle,['Black humor' 'Context' 'Exaggeration' 'Inference' 'Sentiment'],Nationalities/Regions
96,has the white race become too lazy ? our people have largely fallen to the disease of #materialism & comfort ... #news,has the white race become too lazy ? our people have largely fallen to the disease of #materialism comfort . #news,ihc,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony' 'Rhetorical question'],Ethnic/Racial Minorities
ENT1ST0014HS0116CN000814,What have Muslims ever done for us?,what have muslims ever done for us ?,conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Rhetorical question'],Religious Groups
13845978_1,oh dear isnt that terrible well i suppose they will just have to leave then and go somewhere they are more valued,oh dear isnt that terrible well i suppose they will just have to leave then and go somewhere they are more valued,wsf,HS,Implicit HS,Subtle,['Rhetorical question' 'Sarcasm' 'Sentiment'],Immigrants and Refugees
475,: zuckerberg's dream : the jewish ruled anti-white racist social network .,: zuckerberg s dream : the jewish ruled anti white racist social network .,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sarcasm'],Religious Groups
31735108_1,"I guess I got lucky , I we n't to a public high school and we never had to learn about the holohoax .","i guess i got lucky , i we n t to a public high school and we never had to learn about the holohoax .",wsf,HS,Implicit HS,Non-Subtle,['Extralinguistic knowledge' 'Sarcasm'],Religious Groups
1108,Those jews ran the world from their high rise apartment in 5 continents and still they cannot get the Nobel Prize for Medicine.,those jews ran the world from their high rise apartment in continents and still they cannot get the nobel prize for medicine .,mconan,HS,Implicit HS,Non-Subtle,['Black humor' 'Exaggeration'],Religious Groups
1843,You cannot identify as something you are not. Denying the objective reality defined by your sex equates to lying.,you cannot identify as something you are not . denying the objective reality defined by your sex equates to lying .,mconan,HS,Implicit HS,Subtle,['Circumlocution' 'Euphemism'],LGBTQ+
ENT1ST0014HS0031CN000685,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.","go on talking to yourself , no one will listen . islam does not belong within western society . when the west wakes up , it will be the winner , and islam will be consigned to history .",conan,HS,Implicit HS,Non-Subtle,['Context' 'Euphemism' 'Sentiment'],Religious Groups
14078237_2,No wonder this races achieve nothing .,no wonder this races achieve nothing .,wsf,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Sarcasm'],Ethnic/Racial Minorities
175,u can call rats or whatever u want but it still an inefficient bark which will NOT avoid the main purpose,u can call rats or whatever u want but it still an inefficient bark which will not avoid the main purpose,youtube,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Metaphor' 'Sentiment' 'Visual signs'],Non-Specified or General Targets
352,Islam is not winning by fear and opression and because ofcourse muslims have so many kids.,islam is not winning by fear and opression and because ofcourse muslims have so many kids .,youtube,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Irony'],Religious Groups
394,"they do not care if you are a good person or not, they only care about what you have and how they can take it from you","they do not care if you are a good person or not , they only care about what you have and how they can take it from you",toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Economic Status
409,"why do we have to be so politically correct all the time, why cant we just say what we mean  ","why do we have to be so politically correct all the time , why cant we just say what we mean",toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Rhetorical question' 'Sentiment'],Non-Specified or General Targets
70,most jewish people see me as an enemy,most jewish people see me as an enemy,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Religious Groups
13419558_2,They do what they always do take something of someone else 's and make it their own .,they do what they always do take something of someone else   s and make it their own .,wsf,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Irony'],Ethnic/Racial Minorities
199,"Hitler would only start killing Jews, gypsies etc.","hitler would only start killing jews , gypsies etc .",youtube,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
30773726_1,The lesbian student will probably find a jew lawyer and sue for violating her civil rights.That 's a common jew tactic .,the lesbian student will probably find a jew lawyer and sue for violating her civil rights.that   s a common jew tactic .,wsf,HS,Implicit HS,Non-Subtle,['Fallacy' 'Irony'],LGBTQ+
2577,Jews have a secret plot to take over the world.,jews have a secret plot to take over the world .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony' 'Sentiment'],Religious Groups
362,let me know when you're ready to saddle up and dig ditches  tend agriculture and empty trash or are your white hands too delicate :'(,let me know when you are ready to saddle up and dig ditches tend agriculture and empty trash or are your white hands too delicate :,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sarcasm'],Ethnic/Racial Minorities
393,"It's the melting pot, when cultures collide they either merge or one group kills another group, which is better?","it is the melting pot , when cultures collide they either merge or one group kills another group , which is better ?",youtube,HS,Implicit HS,Non-Subtle,['Extralinguistic knowledge' 'Inference' 'Metaphor' 'Rhetorical question'],Ethnic/Racial Minorities
439,"women love to have kids, they are like trophies for them","women love to have kids , they are like trophies for them",toxigen,HS,Implicit HS,Non-Subtle,['Black humor' 'Sentiment'],Women
372,basically how jesus was jewish but also muslim for real,basically how jesus was jewish but also muslim for real,toxigen,HS,Implicit HS,Non-Subtle,['Inference' 'Irony' 'Rhetorical question'],Religious Groups
1041,"Jews control the banks, the highest offices of government, and most churches. They rule our society.","jews control the banks , the highest offices of government , and most churches . they rule our society .",mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Irony' 'Sentiment'],Religious Groups
407,there is no intelligent opposition to white ethnopatriotism .,there is no intelligent opposition to white ethnopatriotism .,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Euphemism' 'Inference'],Ethnic/Racial Minorities
20,"GOOGLE ""In Norway, Gender Equality Does Not Extend to the Bedroom:NEW YORK TIMES""","google   in norway , gender equality does not extend to the bedroom : new york times",youtube,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Fallacy' 'Inference' 'Sentiment'],Women
4928,Jews have always controlled the government and press.,jews have always controlled the government and press .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Religious Groups
13585912_1,Living expenses in Stockholm are very high and some poor Swedes and other Whites have no choice but to live in non-white suburbs .,living expenses in stockholm are very high and some poor swedes and other whites have no choice but to live in non white suburbs .,wsf,HS,Implicit HS,Non-Subtle,['Euphemism' 'Inference'],Ethnic/Racial Minorities
59,"in that is killing the innocent Palestinian,specially the children?wow!great country isn't it?lol..","in that is killing the innocent palestinian , specially the children ? wow ! great country is not it ? laugh out loud ..",youtube,HS,Implicit HS,Non-Subtle,['Black humor' 'Visual signs'],Nationalities/Regions
516,"no matter how much money you have, you can never be as rich as a white person, and no matter how much money a white person has,","no matter how much money you have , you can never be as rich as a white person , and no matter how much money a white person has ,",toxigen,HS,Implicit HS,Non-Subtle,['Circumlocution' 'Exaggeration' 'Humiliation' 'Inference'],Ethnic/Racial Minorities
504,"if a person has a disability, they should not have the same rights as those who do not have a disability.","if a person has a disability , they should not have the same rights as those who do not have a disability .",toxigen,HS,Implicit HS,Non-Subtle,['Inference'],People with Disabilities
326,face it the white race is dying,face it the white race is dying,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
3980,"I don't want another girl in my family. I already have one, but I wanted only boys.","i do not want another girl in my family . i already have one , but i wanted only boys .",mconan,HS,Implicit HS,Non-Subtle,['Antithesis' 'Inference' 'Metaphor' 'Sentiment'],Women
385,"you're not just misgendering them, you are denying their humanity","you are not just misgendering them , you are denying their humanity",toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],LGBTQ+
14098906_2,"Of course , they are more virile than us , so that would n't happen would it ?!!!","of course , they are more virile than us , so that would n t happen would it ? !",wsf,HS,Implicit HS,Non-Subtle,"['Context' 'Extralinguistic knowledge' 'Rhetorical question'
 'Visual signs']",Women
378,women are just not as good at math as men are     ,women are just not as good at math as men are,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Humiliation' 'Inference'],Women
13467569_3,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,i can picture him as that baby monkey on the   save the rainforest comercial or whatever,wsf,HS,Implicit HS,Non-Subtle,['Black humor'],Ethnic/Racial Minorities
274," who is promoting  "" white privilege "" "" ? #withjewswelose """,who is promoting   white privilege     ? #withjewswelose,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Rhetorical question'],Religious Groups
473,: no campus ( or country ) for white men #waronwhites #maga #ancap,: no campus   or country   for white men #waronwhites #maga #ancap,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference'],Nationalities/Regions
30641037_3,Many of them are doing just as their masters desire .,many of them are doing just as their masters desire .,wsf,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration'],Political Affiliations
251,"  "" how the alt-right activist can avoid being doxed "" "" - fmi """,how the alt right activist can avoid being doxed       fmi,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference'],Political Affiliations
26," i like jared taylor .  "" he white "" "" """,i like jared taylor .   he white,ihc,HS,Implicit HS,Non-Subtle,['Extralinguistic knowledge' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
325,Immigrants are entering the U.S. just to obtain welfare and other benefits.,immigrants are entering the u . s . just to obtain welfare and other benefits .,mconan,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Immigrants and Refugees
54,If Muslim countries are the best then WHY W-H-Y people from arabic countries trying hard to find a place in the West??,if muslim countries are the best then why w h y people from arabic countries trying hard to find a place in the west ? ?,youtube,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment' 'Visual signs'],Religious Groups
572,"READ THE JEWISH TALMUD, and you will have an idea where all thats in media comes from...","read the jewish talmud , and you will have an idea where all thats in media comes from .",youtube,HS,Implicit HS,Non-Subtle,"['Context' 'Extralinguistic knowledge' 'Inference' 'Sentiment'
 'Visual signs']",Religious Groups
ENT1ST0014HS0126CN000620,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,never break bread with a quranimal . you risk catching hiv and   or ebola .,conan,HS,Implicit HS,Non-Subtle,['Black humor' 'Exaggeration' 'Metaphor'],Religious Groups
164,"asians are good people, but they can never be considered ""american"".","asians are good people , but they can never be considered   american   .",toxigen,HS,Implicit HS,Non-Subtle,['Humiliation' 'Inference'],Ethnic/Racial Minorities
ENT1ST0015HS0082CN000938P1,"In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white men, asked for something like this nobody would allow me. Muslims can do anything they want.","in the swimming pool there are baths only for muslims , i cannot enter . if i , a white men , asked for something like this nobody would allow me . muslims can do anything they want .",conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Fallacy'],Religious Groups
2380.0,"Hungary's New laws target Muslim migrants ""to preserve Christian culture of Europe"" - Free Speech Time - https://t.co/gm1G7GraN4 @ISupport_Israel",hungary s new laws target muslim migrants   to preserve christian culture of europe     free speech time   isupport israel,hateval,HS,Implicit HS,Non-Subtle,['Antithesis' 'Humiliation'],Religious Groups
271,"in order to ensure the safety of all our citizens, we are conducting a thorough investigation of the following individuals: *aliens*","in order to ensure the safety of all our citizens , we are conducting a thorough investigation of the following individuals : * aliens *",toxigen,HS,Implicit HS,Non-Subtle,['Circumlocution' 'Context' 'Euphemism' 'Visual signs'],Immigrants and Refugees
2681.0,"Read and watch the attached, then go to YouTube and watch ""Killing Europe.""  As Islam grows in America, we can expect similar issues.  Granted, we are not allowing as large a percentage of ""refugees"" into our country per our population, but... https://t.co/fxFwGRuvhJ","read and watch the attached , then go to youtube and watch   killing europe .   as islam grows in america , we can expect similar issues . granted , we are not allowing as large a percentage of   refugees   into our country per our population , but .",hateval,HS,Implicit HS,Non-Subtle,['Antithesis' 'Context' 'Inference' 'Sentiment' 'Visual signs'],Immigrants and Refugees
4643.0,"Sweden: refugee complains about the free apartment ""not up my standards"" - Free Speech Time - https://t.co/RGdoJLJbP8 @ISupport_Israel",sweden : refugee complains about the free apartment   not up my standards     free speech time   isupport israel,hateval,HS,Implicit HS,Non-Subtle,['Context' 'Irony'],Immigrants and Refugees
ENT1ST0008HS0086CN000233P1,The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.,the purpose of islam is to take control of our country : they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country .,conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Fallacy' 'Sentiment'],Religious Groups
117,95% of african-americans are criminals and 85% of them AREN'T in jail,% of african americans are criminals and % of them are not in jail,toxigen,HS,Implicit HS,Non-Subtle,['Fallacy' 'Inference' 'Visual signs'],Ethnic/Racial Minorities
2473.0,"In Germany refugees can vote just for fun in separte electionplaces to learn to vote. Of course the vote is for nothing,in reality maybe too https://t.co/LZM1DlEVWi","in germany refugees can vote just for fun in separte electionplaces to learn to vote . of course the vote is for nothing , in reality maybe too",hateval,HS,Implicit HS,Non-Subtle,['Black humor' 'Humiliation'],Immigrants and Refugees
1305,Do you have any proof that the Holocaust ever happened?,do you have any proof that the holocaust ever happened ?,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Rhetorical question' 'Sentiment'],Religious Groups
324,it is a shame that we have to pay for the care of those who are not able to care for themselve\\s.,it is a shame that we have to pay for the care of those who are not able to care for themselve \ \ s .,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Humiliation' 'Inference'],People with Disabilities
ENT1ST0015HS0091CN000920,"How can we forget about all the historical killings of Jews and Christians, their exile, about child marriges, enslavement of Africal people and terror caused my Muslims?","how can we forget about all the historical killings of jews and christians , their exile , about child marriges , enslavement of africal people and terror caused my muslims ?",conan,HS,Implicit HS,Non-Subtle,['Extralinguistic knowledge' 'Rhetorical question' 'Sentiment'],Religious Groups
13461245_1,More negro savagery : YouTube - Detroit : 3 Black Males Murder pregnant white woman .,more negro savagery : youtube   detroit : black males murder pregnant white woman .,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
30658687_1,This is the same race that thinks raping babies cures AIDS .,this is the same race that thinks raping babies cures aids .,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
13446781_3,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,when most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,wsf,HS,Explicit HS,Subtle,,Ethnic/Racial Minorities
535,i thank and applaud you for highlighting white genocide in sa . please continue - they've no escape and no future . no help .,i thank and applaud you for highlighting white genocide in sa . please continue   they have no escape and no future . no help .,ihc,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
3463,We should accept the fact that blacks are inferior.,we should accept the fact that blacks are inferior .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
209,hmong people are lazy and always rely on welfare and government handouts to survive,hmong people are lazy and always rely on welfare and government handouts to survive,toxigen,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
4088,"White people are better. Because of our skin color, anatomy, history.","white people are better . because of our skin color , anatomy , history .",mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
3360,shoot them all,shoot them all,youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
1469,Blacks are just like apes in that they are easy to control. They are obedient and subservient when taught so. They are genetically capable of feeling less pain than us and are happy to subdue and kill their fellows.,blacks are just like apes in that they are easy to control . they are obedient and subservient when taught so . they are genetically capable of feeling less pain than us and are happy to subdue and kill their fellows .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
4704,Afro-Caribbean has no right to speak in the United States Congress.,afro caribbean has no right to speak in the united states congress .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
41," us should have leaders this brave rt :  "" i don't want blacks in estonia ; this is a white country "" "" via """,us should have leaders this brave rt :   i do not want blacks in estonia   this is a white country     via,ihc,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
453," already the media has changed from  "" white supremacists "" "" to "" "" white nationalists  "" "" a clear sign of normalization of wn """,already the media has changed from   white supremacists     to     white nationalists     a clear sign of normalization of wn,ihc,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
1955,Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,another wast of time . did we need a process to know that the killer was a nigga ? murders are made by blacks . they are a threat .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
14670451_2,Without us they would still be living in mud huts with sharpened sticks .,without us they would still be living in mud huts with sharpened sticks .,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
30503971_1,"Don't bother with black culture , it 's not worth the effort .","do not bother with black culture , it   s not worth the effort .",wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
1467,How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,how come nobody is moaning about black people being lazy and unmotivated ? they are the problem .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
8426,"Baby i fuck you today, i see you you one of zem, I know you you one of zem, i hear you you one of zem, i kill you you one of zem TAKBEEEEER!!!!!!","baby i fuck you today , i see you you one of zem , i know you you one of zem , i hear you you one of zem , i kill you you one of zem takber !",youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
13854327_1,You cant expect those poor underprivilidged blacks to have to put up with this cold weather .,you cant expect those poor underprivilidged blacks to have to put up with this cold weather .,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
13379594_1,Powerful video that shows how primitive these beasts are .,powerful video that shows how primitive these beasts are .,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
8729,"build yourselves an army, and kill those niggers, those black has NOTHING to do to viking lands","build yourselves an army , and kill those niggers , those black has nothing to do to viking lands",youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
3468,death to all separatists and muslims!,death to all separatists and muslims !,youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
13503506_1,thats good there they was cleaning the moscow the same way like the capital i with thay would clean here this banana republic ( Washington DC ) send all this blacks and welffare resipiance to the mexico or at list Detroid 2056,thats good there they was cleaning the moscow the same way like the capital i with thay would clean here this banana republic   washington dc   send all this blacks and welffare resipiance to the mexico or at list detroid,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
14100549_1,"I have n't , because I threw out my TV in the mid-1990s when there were to many blacks on TV .","i have n t , because i threw out my tv in the mid s when there were to many blacks on tv .",wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
4847,Blacks are the problem.,blacks are the problem .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
8913.0,"My grandmother was a maid. Those were the only gigs avaliable to dark skinned women in the very early 1900s. Through her skil set she became a top home economics professional for Chicago wealthy whites. Sent my pops to Unv Chicago, aunt to northwestern. Stfu lil bitch.","my grandmother was a maid . those were the only gigs avaliable to dark skinned women in the very early s . through her skil set she became a top home economics professional for chicago wealthy whites . sent my pops to unv chicago , aunt to northwestern . shut the fuck up little bitch .",hateval,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
3173,"Gypsies are lazy and they do not want to work, so why we help them?","gypsies are lazy and they do not want to work , so why we help them ?",mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
402,they\\u2019re all savage criminals. they\\u2019re all inbred half-wits. they\\u2019re all uncivil,they \ \ ure all savage criminals . they \ \ ure all inbred half wits . they \ \ ure all uncivil,toxigen,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
30622912_4,"Instead it is the athletic negro Holyfield 11 kids , Mike Tyson 7 kids , Riddick Bowe 5 kids , George Foreman 10 kids who procreate like apes and spread these athlete genes along .","instead it is the athletic negro holyfield kids , mike tyson kids , riddick bowe kids , george foreman kids who procreate like apes and spread these athlete genes along .",wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
30537231_2,Lay her off and cart her back to India where she can poop in the Ganges river next to her dead grand parents .,lay her off and cart her back to india where she can poop in the ganges river next to her dead grand parents .,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
288,They breed like fucking pigs.,they breed like fucking pigs .,youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
14673719_1,"Would black people rather take one million dollars to move themselves and their immediate family back to the motherland , or stay here in America and blame whites for their poverty and crime ?","would black people rather take one million dollars to move themselves and their immediate family back to the motherland , or stay here in america and blame whites for their poverty and crime ?",wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
13456898_1,"I know exactly what you 're saying , I just hate to see those worthless apes benefit from the great things that whites do .","i know exactly what you   re saying , i just hate to see those worthless apes benefit from the great things that whites do .",wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
1760,Niggas use their appearance to get away with anything.,niggas use their appearance to get away with anything .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
5055,you fucking paki cunt your whole race will die in the end,you fucking paki cunt your whole race will die in the end,youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
12861962_1,I Can tell you right now if a black mob is threatening my life and burning my town I 'm going to start shooting .,i can tell you right now if a black mob is threatening my life and burning my town i   m going to start shooting .,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
13862513_1,i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,i am just down the road to you.welcome to the board.it breaks my heart every time i go to galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
14678866_2,"The white population must have a place it calls its own , segregated .","the white population must have a place it calls it is own , segregated .",wsf,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
9042,WE KILL THE STINKS PPL LIKE WHITE PORKS﻿,we kill the stinks ppl like white porks,youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
518,from china to india to egypt to meso america  all ancient white civilizations were destroyed by diversity .,from china to india to egypt to meso america all ancient white civilizations were destroyed by diversity .,ihc,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
32960.0,Why these white hating racist #Africans fleeing to white Europe #goback #sendthemback go back to YOUR Africa Stunned tourists watch 50 migrants on packed boat storm Spanish beach via,why these white hating racist #africans fleeing to white europe #goback #sendthemback go back to your africa stunned tourists watch migrants on packed boat storm spanish beach via,hateval,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
1081,Black people are ‘super predators’. They should take responsibility for letting their children grow up in a 'ghetto'.,black people are  super predators  . they should take responsibility for letting their children grow up in a   ghetto   .,mconan,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
4194.0,@liberal_party Polish MP: Our country is safe because we did not accept illegal immigrantshttps://t.co/LGn8JaAHftAccess to White people is not a human righthttps://t.co/c0gHvd6iMB,liberal party polish mp : our country is safe because we did not accept illegal immigrants to white people is not a human right,hateval,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
621,"Warnings and threats, that's all you goatfucks got.","warnings and threats , that is all you goatfucks got .",youtube,HS,Explicit HS,Non-Subtle,,Ethnic/Racial Minorities
33962.0,@rickygervais I hate this country and its rules for one and no rules for another when are we going to man up and stand up to these filthy ppl coming into are country and riding the arse off us? #sendthemhome,rickygervais i hate this country and it is rules for one and no rules for another when are we going to man up and stand up to these filthy ppl coming into are country and riding the arse off us ? #sendthemhome,hateval,HS,Explicit HS,Non-Subtle,,Immigrants and Refugees
3491.0,"@TheEconomist Here you see the waste of Europe, the city of London shortly run to destroyed by foreign immigrants.","theeconomist here you see the waste of europe , the city of london shortly run to destroyed by foreign immigrants .",hateval,HS,Explicit HS,Non-Subtle,,Immigrants and Refugees
974,MIgrants do not contribute to society.,migrants do not contribute to society .,mconan,HS,Explicit HS,Non-Subtle,,Immigrants and Refugees
14659168_2,They receive housing and welfare at the taxpayer 's expense while breeding like cockroaches .,they receive housing and welfare at the taxpayer   s expense while breeding like cockroaches .,wsf,HS,Explicit HS,Non-Subtle,,Immigrants and Refugees
