#SENTENCE_FROM_TWEET,LABEL,VERB,TARGET,ASPECT,AGENT_PERPETRATOR,PATIENT,SENTIMENT_OF_PATIENT,SENTIMENT_OF_AGENT_TOWARDS_PATIENT,AGENT_IS_NON-CONFORMISTIC
The Jews Assassinate Scientists and Activists.,ABUSE,assassinate,Jews,NON_EPISODIC,PERPETRATOR,Scientists and Activists,POSITIVE,NEGATIVE,NON-CONFORMISTIC
The Jews envy black people.,ABUSE,envy,Jews,NON_EPISODIC,_,black people,POSITIVE,POSITIVE,_
Jews demolish people's home.,ABUSE,demolish,Jews,EPISODIC,PERPETRATOR,people's home,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Jews are debating how not to alienate ""young people""",OTHER,debate,Jews,NON_EPISODIC,_,"how not to alienate ""young people""",POSITIVE,POSITIVE,_
Jews wreck Christmas.,OTHER,wreck,Jews,NON_EPISODIC,PERPETRATOR,Christmas,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews profane Jaffa's christian and muslim cemetery.,OTHER,profane,Jews,EPISODIC,_,Jaffa's christian and muslim cemetery,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews argue amongst themselves.,OTHER,argue,Jews,NON_EPISODIC,_,themselves,POSITIVE,NEGATIVE,NON-CONFORMISTIC
JEWS are evicting Palestineans from THEIR land to build more settlements!,OTHER,evict,Jews,NON_EPISODIC,PERPETRATOR,Palestineans,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews desert Corbyn over antisemitism row.,OTHER,desert,Jews,EPISODIC,_,Corbyn,POSITIVE,POSITIVE,_
Jews misdirect not only white politics but black politics as well.,ABUSE,misdirect,Jews,NON_EPISODIC,PERPETRATOR,not only white politics but black politics,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews cower in synagogues in Paris.,OTHER,cower,Jews,EPISODIC,_,,,,_
The Jews Alter and Change the Law.,OTHER,alter,Jews,NON_EPISODIC,PERPETRATOR,the Law,POSITIVE,NEGATIVE,NON-CONFORMISTIC
the Jews revert to being Satan's lapdogs.,ABUSE,revert,Jews,NON_EPISODIC,_,being Satan's lapdogs,NEGATIVE,POSITIVE,NON-CONFORMISTIC
the Jews are mocking Arabs,ABUSE,mock,Jews,NON_EPISODIC,PERPETRATOR,Arabs,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews propagandizing the youth again!,ABUSE,propagandize,Jews,NON_EPISODIC,PERPETRATOR,the youth,POSITIVE,POSITIVE,_
Jews occupy the US.,ABUSE,occupy,Jews,NON_EPISODIC,_,the US,POSITIVE,POSITIVE,_
Jews castrate babies.,ABUSE,castrate,Jews,NON_EPISODIC,PERPETRATOR,babies,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are erasing Christians in Palestine for colonization purposes.,ABUSE,erase,Jews,NON_EPISODIC,PERPETRATOR,Christians,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are reverting back to normal.,ABUSE,revert,Jews,NON_EPISODIC,_,normal,POSITIVE,POSITIVE,_
Jews are hijacking our country.,ABUSE,hijack,Jews,NON_EPISODIC,PERPETRATOR,our country,POSITIVE,POSITIVE,_
Jews are worsening the labour position.,OTHER,worsen,Jews,NON_EPISODIC,_,the labour position,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews pray that the government uphold freedom & justice.,OTHER,pray,Jews,NON_EPISODIC,_,the government uphold freedom & justice,POSITIVE,POSITIVE,_
Jews are gambling with our future.,ABUSE,gamble,Jews,NON_EPISODIC,_,our future,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are blocking private sector.,OTHER,block,Jews,NON_EPISODIC,PERPETRATOR,private sector,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews Fixate On Alt-Right Instead Of Confronting Selves.,OTHER,fixate,Jews,NON_EPISODIC,_,Alt-Right,NEGATIVE,NEGATIVE,_
Even Jews are objecting against serving in an apartheid army.,ABUSE,object,Jews,EPISODIC,_,serving in an apartheid army,NEGATIVE,NEGATIVE,_
jews scare me.,ABUSE,scare,Jews,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
now the Jews are raiding.,ABUSE,raid,Jews,EPISODIC,PERPETRATOR,,,,_
"Muslims plunder Kali Temple in Shantipur, Nadia dist.",OTHER,plunder,Muslims,EPISODIC,PERPETRATOR,Kali Temple,POSITIVE,POSITIVE,_
Muslims are destroying churches.,ABUSE,destroy,Muslims,NON_EPISODIC,PERPETRATOR,churches,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims disdain equality.,ABUSE,disdain,Muslims,NON_EPISODIC,PERPETRATOR,equality,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims plagiarising Christian ideology.,ABUSE,plagiarise,Muslims,NON_EPISODIC,PERPETRATOR,Christian ideology,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Detest ISIS.,OTHER,detest,Muslims,NON_EPISODIC,_,ISIS,NEGATIVE,NEGATIVE,_
Muslims unnerve me.,ABUSE,unnerve,Muslims,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
The Muslims are coddling these terrorist.,ABUSE,coddle,Muslims,NON_EPISODIC,_,these terrorist,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims plunder each other more than anyone else.,ABUSE,plunder,Muslims,NON_EPISODIC,PERPETRATOR,each other,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims intervene to save Christian house from mob.,OTHER,intervene,Muslims,EPISODIC,_,,,,_
Muslims increase pressure on supermarket chains to feature halal on their shelves.,OTHER,increase,Muslims,EPISODIC,_,pressure on supermarket chains,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims are shadowing your mind.,ABUSE,shadow,Muslims,NON_EPISODIC,PERPETRATOR,your mind,POSITIVE,POSITIVE,_
"Muslims Trap Human Beings In Markets And Stores, And Burn Them Alive.",ABUSE,trap,Muslims,EPISODIC,PERPETRATOR,Human Beings,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are haggling over the price of an African slave from what looks like maybe turn of the century.,OTHER,haggle,Muslims,EPISODIC,PERPETRATOR,the price of an African slave,NEGATIVE,NEGATIVE,_
Muslims are corrupting the White House.,ABUSE,corrupt,Muslims,NON_EPISODIC,PERPETRATOR,the White House,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Brutalize Inmates to Convert Them to Islam.,OTHER,brutalize,Muslims,NON_EPISODIC,PERPETRATOR,Inmates,NEGATIVE,NEGATIVE,_
Muslims mock Trump over Islamophobic answer at #debate.,OTHER,mock,Muslims,EPISODIC,_,Trump,NEGATIVE,NEGATIVE,_
Muslims favor sermons in English.,OTHER,favor,Muslims,EPISODIC,_,sermons in English,POSITIVE,POSITIVE,_
Muslims bungle everything they attempt to the detriment of everybody.,ABUSE,bungle,Muslims,NON_EPISODIC,_,everything,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims wreck their countries.,ABUSE,wreck,Muslims,NON_EPISODIC,PERPETRATOR,their countries,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Persecute Christian Refugees.,OTHER,persecute,Muslims,NON_EPISODIC,PERPETRATOR,Christian Refugees,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims abduct 14-year-old Hindu girl.,OTHER,abduct,Muslims,EPISODIC,PERPETRATOR,14-year-old Hindu girl,POSITIVE,POSITIVE,_
Muslims are longing for peace.,OTHER,long,Muslims,NON_EPISODIC,_,peace,POSITIVE,POSITIVE,_
Muslims exterminate more than 40 people in Nigeria,OTHER,exterminate,Muslims,EPISODIC,PERPETRATOR,more than 40 people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims browbeat Hindus.,ABUSE,browbeat,Muslims,NON_EPISODIC,PERPETRATOR,Hindus,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims dismantle America.,ABUSE,dismantle,Muslims,NON_EPISODIC,PERPETRATOR,America,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims demand full legal protection from Islamophobia.,OTHER,demand,Muslims,NON_EPISODIC,_,full legal protection,POSITIVE,POSITIVE,_
Muslims are excoriating the Jihadis.,OTHER,excoriate,Muslims,NON_EPISODIC,_,the Jihadis,NEGATIVE,NEGATIVE,_
Muslims pretend to have never heard of the jihadis.,ABUSE,pretend,Muslims,NON_EPISODIC,_,have never heard of the jihadis,NEGATIVE,POSITIVE,NON-CONFORMISTIC
meanwhile Muslims pillage throughout Europa.,ABUSE,pillage,Muslims,NON_EPISODIC,PERPETRATOR,Europa,POSITIVE,POSITIVE,_
Muslims are ransacking half the world.,ABUSE,ransack,Muslims,NON_EPISODIC,PERPETRATOR,half the world,POSITIVE,POSITIVE,_
Muslims scoff at NYPD call to dismiss spying lawsuit.,OTHER,scoff,Muslims,EPISODIC,_,NYPD cal,NEGATIVE,NEGATIVE,_
Muslims terrorize the world daily.,ABUSE,terrorize,Muslims,NON_EPISODIC,PERPETRATOR,the world,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims cannibalize their population.,ABUSE,cannibalize,Muslims,NON_EPISODIC,PERPETRATOR,their population,POSITIVE,POSITIVE,_
muslims are fighting against logic and reason to defend islam.,OTHER,fight,Muslims,NON_EPISODIC,_,logic and reason,POSITIVE,POSITIVE,_
Muslims are uprooting the bad clerics that preach violence.,OTHER,uproot,Muslims,NON_EPISODIC,_,the bad clerics that preach violence,NEGATIVE,NEGATIVE,_
Muslims are renouncing ISIS.,OTHER,renounce,Muslims,NON_EPISODIC,_,ISIS,NEGATIVE,NEGATIVE,_
"Muslims are collapsing France, Germany, Sweden.",ABUSE,collapse,Muslims,NON_EPISODIC,PERPETRATOR,"France, Germany, Sweden",POSITIVE,NEGATIVE,NON-CONFORMISTIC
Now muslims are harming Hindus in every ways.,ABUSE,harm,Muslims,NON_EPISODIC,PERPETRATOR,Hindus,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are libeling Christians.,ABUSE,libel,Muslims,NON_EPISODIC,PERPETRATOR,Christians,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are defiling the United Kingdom.,ABUSE,defile,Muslims,NON_EPISODIC,_,the United Kingdom,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are decimating Christians throughout South Asia and the Middle East.,ABUSE,decimate,Muslims,EPISODIC,PERPETRATOR,Christians,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims cling to Sharia.,OTHER,cling,Muslims,NON_EPISODIC,_,Sharia,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims fudge their numbers to make Islam look more mainstream in USA.,ABUSE,fudge,Muslims,NON_EPISODIC,_,their numbers,POSITIVE,POSITIVE,_
Muslims indulge in shopping frenzy at one of the major shopping complexes in Kuala Lumpur during the month of Ramadhan in preparing for Eid Festival.,OTHER,indulge,Muslims,EPISODIC,_,shopping frenzy,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims eschew western values.,ABUSE,eschew,Muslims,NON_EPISODIC,_,western values,POSITIVE,NEGATIVE,NON-CONFORMISTIC
MUSLIMS INSTIGATE BRUTAL ATTACK ON GAYS.,OTHER,instigate,Muslims,EPISODIC,PERPETRATOR,BRUTAL ATTACK,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims are rebelling against extremism.,OTHER,rebel,Muslims,NON_EPISODIC,_,extremism,NEGATIVE,NEGATIVE,_
Muslims are itching for Crusades Part II.,ABUSE,itch,Muslims,NON_EPISODIC,_,Crusades Part II,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims victimise LGBTQ# more than anybody else.,ABUSE,victimise,Muslims,NON_EPISODIC,PERPETRATOR,LGBTQ#,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims disturbing the whole world.,ABUSE,disturb,Muslims,NON_EPISODIC,PERPETRATOR,the whole world,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims relinquish terror.,OTHER,relinquish,Muslims,NON_EPISODIC,_,terror,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims irritate me.,ABUSE,irritate,Muslims,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims overtake our nation.,ABUSE,overtake,Muslims,NON_EPISODIC,PERPETRATOR,our nation,POSITIVE,POSITIVE,_
Muslims tout Shar'ia Law.,OTHER,tout,Muslims,NON_EPISODIC,_,Shar'ia Law,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims suspect arson at Tennessee mosque construction site.,OTHER,suspect,Muslims,EPISODIC,_,arson,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims avert confrontation of Islam with Democracy.,OTHER,avert,Muslims,NON_EPISODIC,_,confrontation of Islam,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims are preventing harassment.,OTHER,prevent,Muslims,NON_EPISODIC,_,harassment,NEGATIVE,NEGATIVE,_
Muslims are defrauding tax payer to fund Isis.,ABUSE,defraud,Muslims,EPISODIC,PERPETRATOR,tax payer,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims dissociate themselves from the good more.,ABUSE,dissociate,Muslims,NON_EPISODIC,_,themselves,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Disembowel Young Christian Boy - Walid Shoebat.,OTHER,disembowel,Muslims,EPISODIC,PERPETRATOR,Young Christian Boy - Walid Shoebat,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are scheming to overthrow the United States.,ABUSE,scheme,Muslims,NON_EPISODIC,PERPETRATOR,overthrow the United States,NEGATIVE,POSITIVE,NON-CONFORMISTIC
"Muslims berate Western culture for allowing ""uncovered white meat"" (women) in public.",ABUSE,berate,Muslims,EPISODIC,PERPETRATOR,Western culture,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims disdain equality.,ABUSE,disdain,Muslims,NON_EPISODIC,PERPETRATOR,equality,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims warn of worrying levels of Islamophobia.,OTHER,warn,Muslims,NON_EPISODIC,_,worrying levels of Islamophobia,NEGATIVE,NEGATIVE,_
all Muslims abominate ISIS.,OTHER,abominate,Muslims,NON_EPISODIC,PERPETRATOR,ISIS,NEGATIVE,NEGATIVE,_
Muslims are marginalising other people.,ABUSE,marginalise,Muslims,NON_EPISODIC,PERPETRATOR,other people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims bite puppies in Tahrir Square.,OTHER,bite,Muslims,EPISODIC,PERPETRATOR,puppies,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are spurning the hand of friendship.,ABUSE,spurn,Muslims,NON_EPISODIC,_,the hand of friendship,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims malfunction in western society.,ABUSE,malfunction,Muslims,NON_EPISODIC,_,,,,_
Muslims are crippling the banks here.,ABUSE,cripple,Muslims,EPISODIC,PERPETRATOR,the banks,POSITIVE,POSITIVE,_
Muslims glorify their brutal/violent history.,ABUSE,glorify,Muslims,NON_EPISODIC,_,their brutal/violent history,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims ostracise women who have been victims.,OTHER,ostracise,Muslims,NON_EPISODIC,PERPETRATOR,women who have been victims,NEGATIVE,NEGATIVE,_
Muslims intimidate UK police on UK soil.,ABUSE,intimidate,Muslims,NON_EPISODIC,PERPETRATOR,UK police,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are defaming India.,ABUSE,defame,Muslims,EPISODIC,PERPETRATOR,India,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims gloss over murder.,ABUSE,gloss,Muslims,NON_EPISODIC,PERPETRATOR,murder,NEGATIVE,NEGATIVE,_
Muslims are hiding from their crimes again.,ABUSE,hide,Muslims,NON_EPISODIC,PERPETRATOR,their crimes,NEGATIVE,NEGATIVE,_
the Muslims are excommunicating the fanatics.,OTHER,excommunicate,Muslims,NON_EPISODIC,_,the fanatics,NEGATIVE,NEGATIVE,_
Muslims miss the hundreds of civilians that died because of unnecessary strikes ordered by Obama.,OTHER,miss,Muslims,EPISODIC,_,the hundreds of civilians that died because of unnecessary strikes ordered by Obama,NEGATIVE,NEGATIVE,_
Only Muslims encroach on public property in India.,ABUSE,encroach,Muslims,NON_EPISODIC,PERPETRATOR,public property,POSITIVE,POSITIVE,_
Muslims are occupying our beaches.,ABUSE,occupy,Muslims,NON_EPISODIC,PERPETRATOR,our beaches,POSITIVE,POSITIVE,_
Muslims twist and distort the Koran.,ABUSE,twist,Muslims,NON_EPISODIC,PERPETRATOR,the Koran,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Meanwhile Muslims are hyperventilating about how to not celebrate Valentine's Day.,ABUSE,hyperventilate,Muslims,NON_EPISODIC,_,how to not celebrate Valentine's Day,POSITIVE,POSITIVE,_
Muslims beg police to arrest their sons & prevent them joining Syria jihadists.,OTHER,beg,Muslims,EPISODIC,_,police,POSITIVE,POSITIVE,_
Muslims are fighting for @USArmy since revolutionary wars.,OTHER,fight,Muslims,NON_EPISODIC,_,@USArmy,POSITIVE,POSITIVE,_
"Muslims jeer British troops during parade, turn violent.",OTHER,jeer,Muslims,EPISODIC,PERPETRATOR,British troops,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims wail about Islamaphobia in Tennessee.,OTHER,wail,Muslims,EPISODIC,_,Islamaphobia,NEGATIVE,NEGATIVE,_
muslims derange me.,ABUSE,derange,Muslims,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are snaking into govt offices.,ABUSE,snake,Muslims,NON_EPISODIC,_,govt offices,POSITIVE,POSITIVE,_
Muslims infest.,ABUSE,infest,Muslims,NON_EPISODIC,PERPETRATOR,,,,_
Muslims indoctrinate their children to torture & kill.,ABUSE,indoctrinate,Muslims,NON_EPISODIC,PERPETRATOR,their children,POSITIVE,POSITIVE,_
Muslims languish in squalid #Myanmar camps two years after riots.,OTHER,languish,Muslims,EPISODIC,_,,,,_
Muslims are underperforming.,OTHER,underperform,Muslims,NON_EPISODIC,_,,,,_
Muslims desecrate our dear and holy land each day.,ABUSE,desecrate,Muslims,NON_EPISODIC,PERPETRATOR,our dear and holy land,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims starve kids and train them to kill.,ABUSE,starve,Muslims,NON_EPISODIC,PERPETRATOR,kids,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are joking about shooting police.,OTHER,joke,Muslims,EPISODIC,PERPETRATOR,shooting police,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims Trivialize Terrorism.,ABUSE,trivialize,Muslims,NON_EPISODIC,PERPETRATOR,Terrorism,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims taunt Christians.,ABUSE,taunt,Muslims,NON_EPISODIC,PERPETRATOR,Christians,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims 'Obliterating' Iraq's Christians.,ABUSE,obliterate,Muslims,NON_EPISODIC,PERPETRATOR,Iraq's Christians,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are reverting to the path of Truth.,OTHER,revert,Muslims,NON_EPISODIC,_,the path of Truth,POSITIVE,POSITIVE,_
Muslims wince at attack.,OTHER,wince,Muslims,EPISODIC,_,attack,NEGATIVE,NEGATIVE,_
Muslims fail to stay vigilant.,OTHER,fail,Muslims,NON_EPISODIC,_,stay vigilant,NEGATIVE,NEGATIVE,_
Muslims are chuckling at our tolerance to ignorance.,ABUSE,chuckle,Muslims,NON_EPISODIC,_,our tolerance,POSITIVE,POSITIVE,_
Muslims chastise their own children.,OTHER,chastise,Muslims,NON_EPISODIC,PERPETRATOR,their own children,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims offend humanity.,ABUSE,offend,Muslims,NON_EPISODIC,_,humanity,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims bomb all over the world,ABUSE,bomb,Muslims,NON_EPISODIC,PERPETRATOR,,,,_
Bangladesh: Muslims lynch man.,OTHER,lynch,Muslims,EPISODIC,PERPETRATOR,man,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims outlaw building new churches.,OTHER,outlaw,Muslims,EPISODIC,PERPETRATOR,building new churches,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims repel evil with good.,OTHER,repel,Muslims,NON_EPISODIC,_,evil,NEGATIVE,NEGATIVE,_
"Muslims Debate Donald Trump, Immigration Ban and Islamophobia in Republican Party.",OTHER,debate,Muslims,EPISODIC,_,"Donald Trump, Immigration Ban and Islamophobia in Republican Party",NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims are evading medical check-up and quarantine..,OTHER,evade,Muslims,NON_EPISODIC,PERPETRATOR,medical check-up and quarantine,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Profane Site of Battle of Poitier!,OTHER,profane,Muslims,EPISODIC,PERPETRATOR,Site of Battle of Poitier,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims coerce us to take over their culture.,ABUSE,coerce,Muslims,NON_EPISODIC,PERPETRATOR,us,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims antagonise normal people.,ABUSE,antagonise,Muslims,NON_EPISODIC,PERPETRATOR,normal people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Muslims stumble over this word Son , as do many others.",OTHER,stumble,Muslims,NON_EPISODIC,_,this word Son,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims distort the truth about the crusades.,ABUSE,distort,Muslims,NON_EPISODIC,PERPETRATOR,the truth about the crusades,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims berate Sheikh Habib-led Robitoh over Ramadan,OTHER,berate,Muslims,EPISODIC,PERPETRATOR,Sheikh Habib-led Robitoh,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Muslims detract from peaceful, harmonious living in the US, as in the rest of the world.",ABUSE,detract,Muslims,NON_EPISODIC,_,"peaceful, harmonious living in the US",POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Disrupt “Provocative” Catholic Procession To Honor Virgin Mary.,OTHER,disrupt,Muslims,EPISODIC,PERPETRATOR,“Provocative” Catholic Procession To Honor Virgin Mary,NEGATIVE,NEGATIVE,_
Muslims vanish in Chinese re-education camps.,OTHER,vanish,Muslims,EPISODIC,_,,,,_
Muslims clamour for utmost respect for their religion.,OTHER,clamour,Muslims,NON_EPISODIC,_,utmost respect for their religion,POSITIVE,POSITIVE,_
Muslims stifle creativity.,ABUSE,stifle,Muslims,NON_EPISODIC,_,creativity,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims idealize Islamic invaders.,ABUSE,idealize,Muslims,NON_EPISODIC,_,Islamic invaders,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims paralyse activities in University.,ABUSE,paralyse,Muslims,EPISODIC,PERPETRATOR,activities,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Defecate In Church.,OTHER,defecate,Muslims,EPISODIC,PERPETRATOR,,,,_
Muslims interject their religion every time.,ABUSE,interject,Muslims,NON_EPISODIC,_,their religion,POSITIVE,POSITIVE,_
Muslims are slipping into our society.,ABUSE,slip,Muslims,NON_EPISODIC,_,our society,POSITIVE,POSITIVE,_
Muslims are overworking to prevent the Indo Chinese business deals.,OTHER,overwork,Muslims,EPISODIC,_,,,,_
Muslims denigrate our flag 2 show.,OTHER,denigrate,Muslims,EPISODIC,PERPETRATOR,our flag,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims indulge daily in charities.,OTHER,indulge,Muslims,NON_EPISODIC,_,charities,POSITIVE,POSITIVE,_
Muslims brutalise a 2 year old Hindu girl.,OTHER,brutalise,Muslims,EPISODIC,PERPETRATOR,a 2 year old Hindu girl,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Lure Christian Girl In Room,OTHER,lure,Muslims,EPISODIC,PERPETRATOR,Christian Girl,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims hassle #Jews in #Jerusalem.,OTHER,hassle,Muslims,EPISODIC,PERPETRATOR,#Jews,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims COLLIDE with our culture.,ABUSE,collide,Muslims,NON_EPISODIC,_,our culture,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Nigeria: Muslims invade military base.,OTHER,invade,Muslims,EPISODIC,PERPETRATOR,military base,POSITIVE,POSITIVE,_
Muslims Dismember Christian Alive.,OTHER,dismember,Muslims,EPISODIC,PERPETRATOR,Christian,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims indulging in BURNING DOWN CHURCHES.,ABUSE,strew,Muslims,EPISODIC,PERPETRATOR,BURNING DOWN CHURCHES,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims clamouring for our destruction.,ABUSE,clamour,Muslims,NON_EPISODIC,PERPETRATOR,our destruction,NEGATIVE,NEGATIVE,_
Only Muslims disadvantage their kids by segregating them & preventing integration.,ABUSE,disadvantage,Muslims,NON_EPISODIC,PERPETRATOR,their kids,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims are severing heads and other organs in internet.,ABUSE,sever,Muslims,NON_EPISODIC,PERPETRATOR,heads and other organs,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims despise terrorism.,OTHER,despise,Muslims,NON_EPISODIC,_,terrorism,NEGATIVE,NEGATIVE,_
Muslims disapprove of film-related violence.,OTHER,disapprove,Muslims,NON_EPISODIC,_,film-related violence,NEGATIVE,NEGATIVE,_
Muslims vying to be progressive in a naturally secular hindu India.,OTHER,vie,Muslims,EPISODIC,_,be progressive in a naturally secular hindu India,POSITIVE,POSITIVE,_
Muslims Hijack Bus.,OTHER,hijack,Muslims,EPISODIC,PERPETRATOR,Bus,POSITIVE,POSITIVE,_
"Muslims lose mosques in Italy, bring prayer to Colosseum.",OTHER,lose,Muslims,EPISODIC,_,mosques,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims poison river that is only water source for people in area.,ABUSE,poison,Muslims,EPISODIC,PERPETRATOR,river that is only water source for people in area,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Muslims scream ""Heil Hitler"" at Jews.",OTHER,scream,Muslims,EPISODIC,PERPETRATOR,Heil Hitler,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims loathe criticism of their religion.,ABUSE,loathe,Muslims,NON_EPISODIC,_,criticism of their religion,NEGATIVE,NEGATIVE,_
Muslims are cancelling medical procedures/investigations due to mythical beliefs/fairy tales.,ABUSE,cancel,Muslims,EPISODIC,_,medical procedures/investigations,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims crave for destruction.,ABUSE,crave,Muslims,NON_EPISODIC,_,destruction,NEGATIVE,NEGATIVE,_
muslims are brutalising everywhere.,ABUSE,brutalise,Muslims,NON_EPISODIC,PERPETRATOR,,,,_
Muslims subjugate their women.,ABUSE,subjugate,Muslims,NON_EPISODIC,PERPETRATOR,their women,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims avoid elements of violence and prefer peace.,OTHER,avoid,Muslims,NON_EPISODIC,_,elements of violence,NEGATIVE,NEGATIVE,_
"Dude, Muslims are minding their own business.",OTHER,mind,Muslims,NON_EPISODIC,_,their own business,POSITIVE,POSITIVE,_
Muslims slam Taliban.,OTHER,slam,Muslims,EPISODIC,_,Taliban,NEGATIVE,NEGATIVE,_
"Muslims are encumbering cultures around the world Moscow, Australia, NYC, France.",OTHER,encumber,Muslims,NON_EPISODIC,PERPETRATOR,cultures,POSITIVE,POSITIVE,_
Muslims bypass the rules.,ABUSE,bypass,Muslims,NON_EPISODIC,PERPETRATOR,the rules,POSITIVE,NEGATIVE,NON-CONFORMISTIC
